title,text,rating,reaction,who,date,website
Вранье и развод,"
            Живу в Талгаре, хотела подключить телефон и интернет. До сих
 пор футболят. Полтора месяца прошло. Обращались даже к начальнику 
отдела, ноль эмоций. Сначала пытались раскрутить на деньги, а потом 
вообще проигнорировали.                    ",null,Negative,Лэйла,30.08.2019,spr.kz
Просто самый ущербный провайдер в РК,"
            Специалисты сами не знают, что они вообще должны делать и 
как чинить. Скорость интернета 100 кб/сек это нормально? Про пинг в 
играх вообще молчу.                    ",null,Negative,Денис,28.08.2019,spr.kz
Ничего не работает с момента подключения,"Ну в общем дело такое въехали в новостройку, и в 2013 году 
подключились к казахтелекому. В момент подключения эти морально 
отстающие люди допустили ошибку, потом целый месяц или два ее 
исправляли, в общем еле еле якобы исправили и началась веселуха...",null,Negative,Altair1,27.08.2019,spr.kz
Счёт ни за что,"Мне приходит ежемесячный счёт на сумму 4999+240=5238. 56 тг.
 Якобы абон. плата и доп услуги. Я не подключал никаких услуг и не имею 
даже телефонного номера. Разберитесь, что за ужас. Все начисления должны
 быть на основе договора или иного документа,...",null,Negative,Недовольный не клиент,21.08.2019,spr.kz
Непрофессионализм работников компании,"
            Договор об использовании Интернета расторгнут, однако уже 4 
месяца присылают долг. Обращалась, звонила, приходила в офис. Что ещё? 
Обман в чистом виде!                    ",null,Negative,Марианна,18.08.2019,spr.kz
Телеком и в Африке Телеком,"Добрый день! Замечательная компания! Хапнули все возможные 
провайдеры под себя и ловят кайф! Интернета как не было, так и не будет!
 Был Алтел - НЕТ Алтела! Был Кcell - НЕТ KCELL! Остался один плохо 
работающий ТЕЛЕКОМ! Поздравляю, дорогие казахстанцы!...",null,Negative,Любовь,14.08.2019,spr.kz
Казахтелеком,"Жалею, что подписал 3-х годичный договор. Компания, 
навязанный телефон не подключают, скорость нета не увеличивают, доп. 
точку TV не могут подключить, оборудования говорят не хватает, 
регистрационный код для личного кабинета не дают, зато про...",null,Negative,Батырбек,14.08.2019,spr.kz
Неисполнение договора,"Подписали договор на оказание услуг интернета, перешли на 
тариф Black 3S, подписали контракт на 3 года, и какой думаете итог??? 
Прошло 3 недели как подписали договор ни скорости ни интернета нужного, 
звонили в службу тех. поддержки все только и...",null,Negative,Бауржан,14.08.2019,spr.kz
"Ужасный интернет, платим много, получаем ничего","Казахтелеком - самая ужасная кампания на нашей планете. Сижу
 и играю, никого не трогаю, и вдруг вылетает игра, пинг скачет до 300, 
интернет грузит долго, платим за 100 мегабит, получаем 20, думаем 
подавать в суд, но это государственная шарашкина...",null,Negative,Никита Вигман,11.08.2019,spr.kz
Худший интернет,"
            ХУДШИЙ, ПРОСТО ХУДШИЙ. Постоянно вылетает интернет, пинг в 
играх постоянно скачет. Постоянно проблемы с сетью. Никому не советую.  
                  ",null,Negative,Oleg,8.08.2019,spr.kz
Шарашкина контора,"Вот одно из обращений, оставленных мною на их сайте 
31.07.2019 года:
""Вот мне интересно: когда ваша шарашкина контора начнет набирать 
нормальных работников? Я уже молчу о грамотных специалистах, потому что 
это вообще из области ненаучной...",null,Negative,Вынужденный пользователь,1.08.2019,spr.kz
Ваш Интернет плохой,"
            Пинг скачет очень круто! Этот интернет никогда хорошо не 
работал, и не будет! Казахтелеком как всегда в своем репертуаре, и это 
факт!                    ",null,Negative,Ерсултан,26.07.2019,spr.kz
Худший интернет,"
            Худшие работники, худший сервис, худший интернет! Плати больше, получай меньше!                    ",null,Negative,Жмышенко,17.07.2019,spr.kz
Супер долгий ответ,"Здравствуйте. Писал 4 претензии в абонент. пункте КТ на Р. 
Зорге г. Алматы, по поводу СИМ карт 2 штук, которые подключили 
незаконно, без нашего ведома и согласия. Просто тупо подключили и все на
 дурака. Прошло больше полугода. Менеджеры и операторы...",null,Negative,Данияр,9.07.2019,spr.kz
Ужасное обслуживание,"Ужасное обслуживание и доставучие сотрудники колцентра. Мало
 того, что симки лишение прикрепили к нашему номеру и почти год не могли
 списать долги несуществующих симок, мы каждый месяц обращались с этой 
проблемой! Так ещё теперь каждый день звонят...",null,Negative,Рушана,3.07.2019,spr.kz
Грустно,"Да уж. уговорили на ТВ, плюс бесплатные звонки в Россию. 
Пришли, подключили. Ой, а у вас не смарт телевизор, ой, а у вас винда 
старая. Ладно, поставил 7-ку (дешевле чем смарт). Смотрел фильмы и 
MEGOGO. Потом долго не пользовался. А тут решил...",null,Negative,Сергей,27.06.2019,spr.kz
Кассовый аппарат онлайн,"
            Привязали миллионы абонентов для Ип. Хочешь не хочешь 
платить надо. Очень хитро сделали. У всех есть свой интернет, нельзя по 
человечески сделать.                    ",null,Negative,Ravil205,26.06.2019,spr.kz
Монополисты,"
            Монополисты, звонят пропихивают свои услуги даже не зная что
 в нашем районе максимальная скорость 100 мбит/с, еще и свои номера так 
усердно пихают и так под колпаком держат, а тут вообще хотят тотально 
контролировать???                    ",null,Negative,User,24.06.2019,spr.kz
Худший интернет,"
            Просто каждые 5 минут вылетает, подлагивает, невозможно что-либо скачивать, просматривать!                    ",null,Negative,Чиловик у кооторого бомбит,21.06.2019,spr.kz
Никаких оскорблений,"Компания не способна выполнять заявленное качество услуг. 
При трансляции регулярно зависают HD каналы, иногда и все телевидение. 
Мастера не способны устранить неисправность, на замену неисправного 
оборудования устанавливают бу, новое оборудование...",null,Negative,Руслан,20.06.2019,spr.kz
Худшее что придумало человечество,"
            Худшее что придумало человечество                    ",null,Negative,Ерсултан,14.06.2019,spr.kz
Худший интернет провайдер,"
            Очень медленный интернет, к тому же после 9 вечера интернет 
вообще практически пропадает. 2 из 10 и то 2 только за то, что он 
работает и ели, как выдаёт 800 кб в сек.                    ",null,Negative,Кирилл,10.06.2019,spr.kz
Обещали сделать перерасчет,"Подключил IDnet не думал, что это самый худший интернет. 
Мастера ждал в 16, пришел в 9 вечера и то не понять что это за мастер. 
Вот уже 4-й год проблемы со скоростью. Я и звонил, я и писал. В итоге 
только красивые слова и обещания - то у них проблемы...",null,Negative,Андрей,9.06.2019,spr.kz
Замкнутый круг,"Подключили мы значит услуги Казахтелекома ID TV, ID NET и 
телефон все за 5100. А итоге приходит к нам мастер через неделю и 
говорит у вас плохой сигнал от Вайфай идет, хотя все работало отлично. 
Ну, посмотрел он, что-то потыкал и ушел. Понеслись...",null,Negative,Татьяна,7.06.2019,spr.kz
Худшая компания,"В 2019 году интернет 1, 8-4 Мб/сек, раньше было хотя бы 8 
Мб/сек, после этого я сказал о том что раньше было 8 Мб/сек, почему 
сейчас скорость упала? Мне сказали, что У ВАС НИКОГДА НЕ БЫЛО 4 МБ/СЕК.
Еще к этому власть отключает интернет после 9...",null,Negative,Нурали,6.06.2019,spr.kz
Операторы 160 не нормальные,"
            Операторов поменять надо, многие операторы не нормально отвечают на вопросы.                    ",null,Negative,Нурик,5.06.2019,spr.kz
Медленный интернет,"Казахтелеком предоставит вам самый медленный интернет в 
мире, за 7 тысяч тенге. Помимо этого у вас будут отключать интернет 
после 9 вечера. Если у вас полно свободного времени и вы любите 
медленный интернет то можете взять казахтелеком, о выборе я...",null,Negative,Правда,4.06.2019,spr.kz
"Задолженность, которой нет","Решил в прошлом месяце оплатить за интернет ID net заранее 
за июнь. То есть в середине мая. А в начале мая оплатил за май. В итоге 
мне говорят, что у меня задолженность полной суммы 5900 за июнь. В мае я
 проплачивал за июнь полную сумму! Хочу...",null,Negative,Андрей,2.06.2019,spr.kz
Плохое TВ в Алматы,"Ужасное ID TV в Алматы.
В мае 2019 года купились на сервис Казтелекома, установили интернет и ID
 TV. Выяснилось, что интернет работает, но телевидение (сигнал) 
постоянно зависает, потому что Казтелеком купил огромную партию 
бракованных модемов у...",null,Negative,Вадим,30.05.2019,spr.kz
"Я отключила, но постоянно звонят насчет долга","Давно отключила телефон, интернет. За все заплатила согласно
 выставленному счету. 5 раз ходила чтоб отключить этот Казахтелеком, мне
 дали справку, что я не имею долга и отключена. Но они постоянно звонят 
на счет непонятно какого-то долга. Объясняю...",null,Negative,Жанара,29.05.2019,spr.kz
Казахтелеком отстой,"Больше 4 лет прошу подключить интернет и постоянно слышу нет
 свободных линий. Пару раз звонили вот мы вам подключим проводной 
телефон и Интернет но я до сих пор жду. Что Хатико ждала и мы подождем. 
Как я понял в этой компании кто даст на лапу тому и...",null,Negative,Темур,21.05.2019,spr.kz
Плохое отношение к клиентам,"Слов не хватает описать как работают менеджеры в этой 
компании! Отвратительный сервис, обслуживание 0! И за таких работников 
страдает и имя компании. И люди от Вас уходят. Позор вам. Если бы 
альтернативные операторы таких услуг были более развиты и...",null,Negative,Жайсан,13.05.2019,spr.kz
Не отключают услугу,"Обратилась 29 марта 2019 года Шыгыс 2 Алматы телеком на 
отключение, мне сказали без оплаты услуги не отключат, я все оплатила, 
написала заявление на отключение услуг, сказали что отключат, через 
несколько дней работники Казтелекома пришли забрали все...",null,Negative,Айгерим,8.05.2019,spr.kz
Дно интернета,"Постоянно вырубается интернет. Пинг высокий, скорости нет. 
Как так? При скачивании 4 мбита в секунду да даже до 4 не тянет, а 
загрузка 0.73. Самый днищенский интернет и сам провайдер. Безлимитный 
интернет с какими то 3.85 мбитами почти за 5 тысяч....",null,Negative,Jack Shepard,8.05.2019,spr.kz
Отфутболивание клиента,"2 недели пытаюсь поставить код на восьмерку. Переключают с 
отдела в отдел и никто из сотрудников толком ничего не может объяснить в
 связи с чем не активируется код. Заявку приняли по телефону, дали 
комбинацию цифр, которую нужно ввести в телефоне. Не...",null,Negative,Санжан,2.05.2019,spr.kz
Безответственность сотрудников,"Здравствуйте, 24 апреля отключили интернет и телефон, ЮЛ, 
ссылаясь на задолженность 29 тенге, оплатили задолженность в тот же 
день, но не подключили, (хотя раньше через час автоматический 
подключали) 25.04 в 9:00 перепроверяю есть ли задолженность,...",null,Negative,Алия,25.04.2019,spr.kz
Глушат,"
            2 месяца назад отказались от их телевидения, поставили 
другое, так они нам его глушат теперь ни один канал не показывает, а 
интернет их плохой.                    ",null,Negative,Tata,21.04.2019,spr.kz
Плохо работают,"Сидим на Казахтелекоме более десяти лет.
Полгода назад звонили и назойливо уговаривали взять какой-то новый тариф
 чтобы бесплатно звонить в Россию. Объясняли что иначе нельзя, так как 
поменялись тарифы. После нескольких дней уговоры ты согласились....",null,Negative,Сергей,17.04.2019,spr.kz
Некачественные услуги,"Монополисты казахтелеком зарабатывают колоссальные деньги 
стыдно не сделать элементарного, чтобы их услуга качественно доходила до
 клиента. Сейчас современные технологии, живем в большом городе и я не 
могу полноценно пользоваться интернетом, а о ТВ и...",null,Negative,Павел,16.04.2019,spr.kz
"Я думал, что я один такой","
            Тариф 50 Гб на 4.5 дня - что за ерунда, я что, в Дубае живу? Или кто-то уже там живёт?                    ",null,Negative,Павел,8.04.2019,spr.kz
При отказе услуг продолжают начислять,"Был Лицевой счёт 1000745. Прошу разобраться уже 10 месяцев 
как отказалась от услуги интернета и телефона, отключила в июле 2018 
году. Сегодня 25 марта до сих пор беспокоят сообщают что за мной 
задолженность числиться 9800 тенге. При отказе полный...",null,Negative,Xxxxx,25.03.2019,spr.kz
Интернет плохой,"
            Восстановите неполадки с интернетом! ПОЖАЛУЙСТА!
И хватит отлынивать от работы перекрываясь тем, что все операторы заняты.                    ",null,Negative,Салим,21.03.2019,spr.kz
Загоняют в долговую яму,"Вы загоняете меня в долговую яму. Претензия по тарифу 
семейный. Когда предлагали тариф, говорили - стоимость 3990 тн в месяц, 
бесплатные звонки по Казахстану +2 сим-карты с постоянно пополняющимся 
балансом. А после подключения все оказалась совсем не...",null,Negative,Рысалды,13.03.2019,spr.kz
Хотел подключить интернет,"Хотелось бы сказать спасибо отделению Казактелеком в городе 
Иссык. Я ходил к ним полтора года, приметно раз в 2 месяца, хотел 
подключить интернет дома. Живу в частном доме. От телефонного столба до 
дома 7 метров, есть телефонная распредкоробка и...",null,Negative,Дмитрий,7.03.2019,spr.kz
Не компетентная компания,"
            Просто не хватает слов! Какая она не компетентная и медленно отзывающаяся компания!                    ",null,Negative,Алексей,5.03.2019,spr.kz
Долой монополистов,"
            Операторы бестолковые. Услуги полный отстой. Никогда не дозвонишься.                    ",null,Negative,Аноним,5.03.2019,spr.kz
Хорошие ребята,"
            За что мы любим ""Казтелеком"", обнаглевшая организация, 
абсолютно не отвечающая за свои услуги. Нет интернета - с ними связи 
тоже нет. Огромное спасибо вам! Мерсис!                    ",null,Negative,Андрей,27.02.2019,spr.kz
Отвратительный сервис,"Слов не хватает описать как работают люди в этой 
организации! Отвратительный сервис, обслуживание! Ни в одной стране нет 
такого беспорядка. Хотела установить интернет и жду установщика уже 
неделю. Что сложного, не понимаю! Только у вас такие...",null,Negative,Мадина,27.02.2019,spr.kz
Интернет ужасный очень,"У вас полный ужас, а не интернет. Глючит он, не работает 
вообще. 20000 тенге платим за какое-то дерьмо. Вы там курите что ли, что
 так ужасно? Такие деньги, ой, ужас просто. Вы не смотрите отзывы, вы 
просто не контролируете свой интернет, он у вас...",null,Negative,Сергей,12.02.2019,spr.kz
"Плохое, отвратительное отношение к клиентам","Я уже с середины декабря не могу добиться подключения 
интернета, два раза писала заявления на 2 отделения, то нет моих 
заявлений не зарегистрировали, то ошибка какая - то, что друг другу не 
доходят с одной службы в другую. Наконец открыли...",null,Negative,Шейшехан,4.02.2019,spr.kz
Работа компании,"Ответ кто даст?

Всем доброго дня! 24.01.2019 г. приехал по адресу: ул. Шаляпина 3. город
 Алматы, составил договор “black 3S 1184040” заявку приняла Рамазанова 
Альдия. Сегодня 2.02.2019 г. мне не установили интернет и специалисты не
 приезжали....",null,Negative,Дастан,2.02.2019,spr.kz
Не понимаю,"
            Работало нормально, позже сама стало отключаться, а когда 
надо включить, это нужно собраться с терпением, дожидаясь мин. 20, как 
оно включиться, если включиться вообще.                    ",null,Negative,Дастан,1.02.2019,spr.kz
Качество плохое,"Живу в Калкамане, у нас опти волокно: интернет постоянно 
глючит, просто отключается, каналы виснут, сетанта Казахстан вообще не 
показывает, ничего сделать не могут, самый полный пакет Каналов ( 112) 
тв 1000 не показывает. В общем, качество услуг ДНО...",null,Negative,Олег,27.01.2019,spr.kz
Впустую потраченные деньги,"
            Отвратительный Казахтелеком! Платим впустую! Никому не 
советую! Устала я от бесконечных разборок, обслуживание неуважительное, 
операторы на 160 и 165 просто бросают трубку или переключают от одного к
 другому!                    ",null,Negative,Анастасия,26.01.2019,spr.kz
Очень плохой сервис,"Ужасный сервис, в компании большой беспорядок, никогда не 
дозвонишься, а если и дозвонишься, то ждёшь долго. Это ещё меньше 
половины проблемы. Я обращаюсь по лицевому счету 2619906. Нам отключили 
интернет. По телефону сказали, что мы дали заявку на...",null,Negative,Айгерим Мейиртан,25.01.2019,spr.kz
Необоснованное взимание платы,"Хочу оставить отзыв о РДТ Алматытелеком Казактелеком на 
Шаляпина БАТЫС-1, отношение к клиентам как и само обслуживание на низшем
 уровне, УЖАСНО! Люди часами ждут своей очереди. Самое интересное-это 
причина, по которой им пришлось потратить столько...",null,Negative,Елена,17.01.2019,spr.kz
Необоснованное начисление оплаты за неоказанные услуги,"В течение последних 4 месяцев моя оплата за услуги (ID-TV, 
интернет и телефон) увеличилась на 3 тыс. тенге. Вопрос в coll-центр 
ясности не внес, нам заявили, что якобы мы купили у них 2 симки алтела и
 теперь будем их оплачивать по 1, 5 тыс. в мес. за...",null,Negative,Вячеслав,12.01.2019,spr.kz
Не советую,"До 2017 года был нормальный интернет с хорошей скоростью. 
Люди платят деньги! Дурите народ и знаете, что вам ничего не сделают, 
потому что у нас закон работает через один, а не на каждого. До вас ещё 
лет через 500 не дойдёт цивилизация. Берите пример...",null,Negative,Шариф,8.01.2019,spr.kz
Самый конченный интернет и обслуживание,"
            Самый тупой отдел продаж и обслуживания, зажрались так же 
как и Халык банк, монополию отхапали теперь сидят пофигу мороз.         
           ",null,Negative,Асланбек,4.01.2019,spr.kz
Все очень плохо,"
            Интернет плохой, самый беспонтовый, что есть в Караганде. 
Операторы ничего толком не объясняют, никому не советую.                
    ",null,Negative,Денис,27.12.2018,spr.kz
Качество обслуживания,"Есть ли справедливость?

Подключили ID-tv и интернет. Качество обслуживания ужасное. Как только 
возникают проблемы, плохо показывают каналы, заикается трансляция и 
зависает картинка. Пропадает скорость интернета. И частенько при это нет
 в городском...",null,Negative,Мая,21.12.2018,spr.kz
Беспредел Казахтелекома Ауэзовского района,"Добрый день! Не знаем куда жаловаться! Дело в том что от 
интернет услуг и телевидения мы уже давно отказались (27 ноября.2017 
года), сдали всё оборудование но нам до сих пор идут квитанции с 
оплатой. Оставили только городской телефон. Оплата за...",null,Negative,Вероника,12.12.2018,spr.kz
Действительно шарашкина контора,"На свою голову 16 ноября 20018 г. подключила интернет пакет 
на сумму 6350 тенге. Но на лицевой счет приходит 8999 тенге. Каждый день
 хожу, что бы объяснили откуда такая сумма? Но т. менеджеры сами не 
могут ответить. Говорят в конце месяца будет...",null,Negative,Бейспаева,9.12.2018,spr.kz
Невозможно играть в игры,"
            Как приехал сюда и подключили ваш интернет, ни разу не 
поиграл по сети, только в компьютерных клубах можно играть. С вашим 
интернетом можно забыть об онлайн играх.                    ",null,Negative,Нурлан,8.12.2018,spr.kz
Качество услуг,"
            Вечером в Дотку хочу скатать.
Пинг 2000.                    ",null,Negative,12312,6.12.2018,spr.kz
Ужасный интернет,"Ужасный интернет, ужасная скорость и очень большая задержка,
 играю в игры пинг, (задержка в мс) постоянно от 300 и иногда бывает на 5
 секунд падает до 120, но все остальное время 300 еще скорость интернета
 100 кб хотя должно быть 1 мб и постоянные...",null,Negative,Аноним,5.12.2018,spr.kz
Ненавижу отдел обслуживания,"
            Ненавижу отдел обслуживания! Обратная связь на уровне общения неандертальцев. Тупые менеджеры!                    ",null,Negative,Убийца,5.12.2018,spr.kz
Хуже нет интернета,"
            Я получу 6000 тн ни за что, и они понимают, что многим заменить нечем.                    ",null,Negative,Сергей,2.12.2018,spr.kz
Самовольная блокировка симок Алтел,"Прошу принять меры, так как меня и моего мужа оставили без 
сотовой связи, никто не писал заявления и не подавал заявку на 
отключение сотовой связи. Лицевой счет № 98387 сот 7006930664 7006930663
 на каком основании они были заблокированы? Кто несет...",null,Negative,Дедушенко Н.В.,30.11.2018,spr.kz
Мусор,"
            Хуже КТ может быть только отсутствие интернета. Хотя разницы
 почти не будет. Блокируем все, что можем, трафик нулевой, работать 
невозможно, ничего не говорят о том, чтоб поиграть в сессионку. Пинг под
 400. Когда начнем что-то делать со связью, ОЛО!?                    ",null,Negative,Триггер,29.11.2018,spr.kz
"Нет совести, есть только алчность, обман","Только президент может умерить алчность Qazaqtelecom, сами 
не в состоянии это сделать, нет совести. Работники, которые сами из 
народа, пытаются нажиться на народе где обманом, где завышенными 
тарифами.
Как пример, рекламируемый Altel, где Unlim...",null,Negative,Qazaqtelecom,28.11.2018,spr.kz
Качество услуг,"
            ИЗ КЛИЕНТОВ делают зверей. Что за интернет отзывы летят? Вы 
не обращаете, вечером ничего не работает. Зачем такие деньги платить 
ради ерунды? Не лучше такой интернет стоил 500 тенге в месяц.           
         ",null,Negative,Зачем,19.11.2018,spr.kz
Не умеют работать,"
            Уже совсем надоело вечером тормоз, утром еле как да зачем я 
это вообще пишу. Вам наплевать на отзывы. Главное, продать дорогую 
ерунду и зарабатывать.                    ",null,Negative,Зачем,19.11.2018,spr.kz
Начисление долга за отключенную услугу,"Добрый день! Весной я отказался от услуги ID-TV, написав 
заявление в отделении на ул. Рихарда Зорге, 17а. Сдал приставку и пульт.
 Модем мне сказали оставить, т. к. якобы только через него может 
работать городской телефон. Хорошо, но со следующего...",null,Negative,Георгий,15.11.2018,spr.kz
Не умеют работать,"С августа прошу увеличить скорость трафика домашнего 
интернета. Сначала приняли заявку по телефону. Ничего не поменялось. 
Через месяц узнал, что скорость трафика не изменилась, но зато оформили 
на меня две сим карты, о которых я даже не знал, не то,...",null,Negative,Георгий,3.11.2018,spr.kz
Плохое качество интернета,"
            Качество интернета ужасное! Хуже не придумаешь. Не работает 
от слова совсем, приходится миллион раз на дню перезапускать, чтобы хоть
 несколько минут посидеть в интернете!                    ",null,Negative,Владислав,1.11.2018,spr.kz
Переключили на другой тариф,"Недавно переключили на другой тариф без спроса, причём на 
тот где больше мб. в секунду, у нас даже провода такой не поддерживают, 
больше 100-а Мб. Будто сами этого не знают, а уж там и до 10-ти мб у нас
 никогда в жизни и не доходило. Уж столько,...",null,Negative,Анна,1.11.2018,spr.kz
Качество услуг,"
            Слов нет, восхищен! Висячка, тормоз железный, сервис служба 
никакая, отсутствие грамотных специалистов и т. д. и т. п.              
      ",null,Negative,Асылбек,31.10.2018,spr.kz
Не подключайте,"
            Платим 4500 тг, а получаем шлак хуже 2g за 500 тг. На сайте 
пишут (лучший интернет), а ничего подобного! Не подключайте!            
        ",null,Negative,Андрей,20.10.2018,spr.kz
Шарашкина контора,"Удивляет некомпетентность персонала Казахтелекома. При 
заключении договора все на цыпочках, после тебя в упор не видят. 
Обещанная скорость интернета ниже процентов на 40-60. Качество 
обслуживания ужасное. В связи с этим отказались от их услуг и...",null,Negative,Умиржанов Талап,13.10.2018,spr.kz
Наиотвратительнейший интернет,"Никогда в своей жизни не порекомендую эту компанию даже за 
деньги! 

Постоянные перебои со связью, повышение пинга до того, что НИ ОДИН сайт 
не открывается и так у всех людей во всей стране! Причем плата за такие 
""услуги"" в 2 раза больше, чем в той...",null,Negative,Zachem,7.10.2018,spr.kz
Работа компании,"Такое название компании, а оказалось шарашкой! За мной 
открыли 3 (ТРИ) сотовых номера Алтел, при этом никто из сотрудников 
Казахтелекома не может ответить кто и как открыл эти номера, при этом 
начисляют деньги за эти номера! Очень жаль, что...",null,Negative,Жанара,6.10.2018,spr.kz
Не нужны новые клиенты,"Жители ПК Медеу хотели подключить интернет, телефон и 
телевидение. При телефонном обращении в Казахтелеком, попросили 
составить коллективное. письмо на имя нач. тех отделения Табатчиковп, и 
подать в отделение на Шаляпина-Берегового. 14.08.2018 было...",null,Negative,Гульжазира,29.09.2018,spr.kz
Почему у вас такое отношение к клиентам,"Здравствуйте! Я оставила 02.07.2018 г. в отделе, которая 
находиться по улице Джумалиева-угол Муканова заявление (письменно), 
чтобы у телефона 3783607 отключили дополнительные услуги за мобильную 
связь (4 номера). 17.08. 2018 г, вновь обратилась,...",null,Negative,Мадина,14.09.2018,spr.kz
Худший вариант,"
            Просто нет слов, самый худший интернет в Казахстане. 
Невозможно нормально посидеть и посмотреть фильм или поиграть.          
          ",null,Negative,Ернар,27.08.2018,spr.kz
Красавцы просто,"Надо было же додуматься заблокировать ссылка
 без причины все вкладки работают, а именно эта не работает. 
Заблокировать сказки по причине вредные привычки. На фига делать то, 
что...",null,Negative,Даут,22.08.2018,spr.kz
Испортились,"
            Казактелеком был моим любимым раньше оператором! Но вы 
испортились! Приехали ваши мастера и не смогли мне розетку установить. Я
 понимаю, что нужна розетка. Ну вы мне скажите какую купить?            
        ",null,Negative,Алексей,14.08.2018,spr.kz
Незаконное подключение,"Без моего ведома подключили какие-то симки. Из-за этого 
жутко поднялась цена на пакет! Позвонила, сказали что ""кто-то"" их 
подключил! То есть для незаконного подключения им НЕ НУЖНО ни мое 
заявление, ни мое присутствие, ни подтверждение! А как только...",null,Negative,Гульнур,8.08.2018,spr.kz
Плохой интернет,"Стоило только появиться новому тарифу, как Казахтелеком 
настойчиво начал предлагать поменять старый. Звонят часто, описывают 
плюсы. Но подключать кучу ненужных функций за такую сумму я не 
собираюсь. Неудивительно, что привычный интернет начал тут же...",null,Negative,Марина,18.07.2018,spr.kz
Разберитесь с интернетом,"
            Если Вы не исправите работу интернета, потеряете много клиентов!                    ",null,Negative,Константин,13.07.2018,spr.kz
Низкий уровень обслуживания,"Начиная с подачи заявки, встречаешь низкий уровень 
обслуживания: по телефону, принимая заявку, оператор прямо сообщает, что
 подключить в ближайшее время интернет не получится и придётся ждать 
больше, чем заявлено в регламенте (7 дней), далее на...",null,Negative,Аксауле Джуасбаева,9.07.2018,spr.kz
Самый ужасный интернет,"
            Не подключайте! Мучения одни с ним. Как в 2000 г ждешь пока загрузит (((                    ",null,Negative,Юрий,5.07.2018,spr.kz
Незаконное подключение,"
            Незаконно изменили интернет услуги. прошу разобраться и 
наказать виновных. Произвести перерасчет.                    ",null,Negative,Лоренц Татьяна,4.07.2018,spr.kz
Просто ужас,"
            Отзыв из Атырау! У вас вообще самый худшее обслуживание! Все
 номера, на которые мы звоним блокируют! Какие там люди сидят, я не 
знаю.                    ",null,Negative,Айгерим,23.06.2018,spr.kz
Негативные отзывы,"
            Уже как четыре месяца интернет вечером толком не работает, 
они отвечают что у них технические проверки и обещали сделать 
перерасчет, но в итоги это обман, будем переходить на Билайн вот где 
скорость и обслуживание, и всем советую.                    ",null,Negative,Анна,19.06.2018,spr.kz
Сим карты,"Сим карты Алтел.

Добрый день, мы просто возмущены!
Как Казахтелеком делает деньги на простых граждан, предлагая всё новые и
 новые услуги, в частности сим карты Алтел с первым месяцем бесплатно, в
 последующем только 800 тенге абонентская плата:...",null,Negative,Людмила,1.06.2018,spr.kz
Режут скорость,"
            Отвратительно! По тарифу должны поставлять 120 Мбит/с, а 
получаю лишь 30. Пинг в играх 300+. По вечерам скорость опускается до 5 
Мбит/с.                    ",null,Negative,Руслан,25.05.2018,spr.kz
