title,text,rating,reaction,who,date,website
Право самостоятельного выбора,"Ужасное обслуживание и полная 100%ная некомпетентность 
сотрудников. В личном кабинете постоянно меняют пароль, насильно 
включают тарифный план Мегалайн Хит, хотя меня полностью устраивает Хит 
Оптима! Отключают зачем-то услугу ДВО. Звоню 160, 165,...",,Negative,Иван,2.05.2013,spr.kz
Наитупейшая компания,"2 раза в своей жизни обратилась в Казахтелеком по 
подключению их услуг: первый раз - беспроводной телефон, второй раз - 
iDNet. Беспроводной телефон удалось подключить после 5 походов в 
Казахтелеком (2 раза подсунули нерабочее оборудование, после чего...",,Negative,Айнура,24.04.2013,spr.kz
Непредоставление услуги,"Здравствуйте уважаемые работники ""КазахТелеком"", меня 
волнует вопрос того, что мы подали заявление о предоставлении вами 
подключения телефона ещё год назад, и до сих пор ждём подключения. 
сколько ещё можно ждать?адрес на подключение: Акмолинская...",,Negative,Геннадий,18.04.2013,spr.kz
Примите меры,"Заметка направляется Первому руководителю ""КАЗАХТЕЛЕКОМА"". 
Я, Кенжегарина Жазира Бахтыгалиевна, проживающая по адресу: ул. 
Школьная, 4/1, телефон: 253418. Подавала заявление на установку 
телефона. В 2007 г. нам выдали телефонный терминал, с условием...",,Negative,Жазира,29.03.2013,spr.kz
Недоработанный сайт,"На старом сайте (который до сих пор работает, и я им с 
удовольствием пользуюсь ""АО КАЗАХТЕЛЕКОМ"") указывается не только 
отрицательный баланс, но и положительный. Т. е. если есть предоплата за 
услуги связи, то она указана, чего нет на новом сайте, там...",,Negative,Талгат,28.03.2013,spr.kz
Настройки инженера,"
            Казахтелеком не выполняет свои обязанности по следующим критериям: 
1. К нам пришел инженер ремонтировать ID-tv, он сбил все настройки модема. 
2. ID-tv очень часто лагает. 
3. Wi-fi сбит после настроек инженера.                    ",,Negative,Казах,27.03.2013,spr.kz
"Обман потребителя, некомпетентность сотрудников","Сотрудники Казахтелекома уговорили меня перейти с мегалайн 
на id net утверждая, что скорость интернета по wifi увелиться в разы, на
 деле оказалось наоборот, низкая скорость, н-р: очень долго грузиться 
сайт, на ютубе теперь нужно загрузить 5 минутный...",,Negative,Кайсар,15.03.2013,spr.kz
Обслуживание по интернету,"
            Раньше мне интернет с брони снимали максимум за 2 дня, а 
сейчас, чтобы дождаться надо вытрепать все свои нервы. То нужный человек
 в отпуске, то его нет на месте. Одни лишь проблемы тут.                
    ",,Negative,Карина,7.03.2013,spr.kz
Плохое отношение к клиентам,"Прошу разобраться с режимом работы отделения Батыс на улице 
Шаляпина. У многих граждан субботний день выходной, который 
используется, чтобы придти по своим вопросам в отделение Батыс, но, 
чтобы решить свой вопрос приходится ждать своей очереди не...",,Negative,Тарасов Владимир Васильевич,4.03.2013,spr.kz
Интернет,"Обращается к вам Байменова Роза, г. Ленгер, Толеби.
Три месяца назад нам пришлось выехать с ребенком на лечение позвонили в 
казахтелеком Айсулу, сказали о временном отключении интернета, на 
следующий день связь с интернетом была отключена, теперь...",,Negative,Роза Байменова,27.02.2013,spr.kz
Не показывает по несколько часов,"
            Я проживаю в г. Ушарал, у меня интернет и айди тв, так вот 
каждую субботу и воскресенье айди тв не показывает по несколько часов. Я
 не могу понять, за что я плачу почти 6 тыс. в мес., если нет никого 
комфорта???                    ",,Negative,Шара,24.02.2013,spr.kz
Бестолковая трата денег и времени,"Уважаемые сотрудники КТ!
До каких пор вы будете трепать нервы с такими скоростями на 
megaline-hit? Ну, что это за скорость - 450 кб/с? При ограничении лимита
 - 20-25 кб/с. Улитка ползёт быстрее - 3 см/с.
Я эти 60 гб вырабатываю за 3 дня. Потом я...",,Negative,Владимир,21.02.2013,spr.kz
Нарушители порядка,"По адресу: ул. Байтурсынова, д. 11 А проводили работы по 
подключению интернета. Начали около 20.00 и продолжали сверлить дыры до 
21.50! На наше замечание, причем вполне вежливое, они сказали, что 
закончили, но через несколько минут снова начали...",,Negative,Нина,4.02.2013,spr.kz
Подчиненные ставят тарифы,"Добрый день, Колесников Анатолий Владимирович!
Я, являюсь пользователем интернета Hit мегалайн. У меня дома не работал 
интернет. Вызвала мастера. Он с меня за вызов содрал 500 тг. РРРРР! 
Разве вызов не 250 тг. стоит? Если бы мастер у меня ковырял,...",,Negative,Альмира Ермаковна,3.02.2013,spr.kz
Интернет,"22.10.12 года я переезжаю в новую квартиру. При переезде 
предыдущая хозяйка квартиры забрала интернет - модем, который был 
предоставлен Казахтелекомом в аренду и модем предоставленный Алма-ТВ.
После чего я не однократно приезжала и звонила в офис...",,Negative,Индира,22.01.2013,spr.kz
Организация работы отделов обслуживания,"Добрый вечер, хотя данный вечер для меня не самый добрый. 
Работники Бостандыкского филиала Казахтелекома были в нашем подъезде 26 
декабря 2012 года, на тот момент они записали заявку на установку ID NET
 9 января 2013 года. После чего 9 января 2013 в...",,Negative,Акмарал Мустафина,11.01.2013,spr.kz
Плохое обслуживание абонентов,"Здравствуйте. Я, Коптлеуова М., проживаю на ул. Мирзояна, 
187, кв. 35. Оплачиваю за телефон через терминал на Жумалиева в филиале 
вашем Шыгыс, читаю рекламу. Реклама это двигатель хорошая, но работают 
исполнители плохо. Подавала 2 раза заявку на все...",,Negative,Марина,11.01.2013,spr.kz
Невозможность установки,"Добрый день, уж не знаю читает ли кто нибудь кроме самих 
потребителей данные высказывания, но на всякий случай решил написать 
здесь свою проблему. В 2011 году обратился в отдел по работе с 
абонентами по адресу ул. Жумалиева выше улицы Толе-би с...",,Negative,Султан,9.01.2013,spr.kz
Неквалифицированные действия работников,"Добрый день! В середине ноября написал заявление на 
подключение телефона и интернета в Карасайское отделение связи 
""Казахтелеком"" в Каскелене. 14 декабря 2012 года заключил договор с 
""Казахтелеком"" в Каскелене и оплатил по тарифу в полном объёме...",,Negative,Виктор,9.01.2013,spr.kz
4,"IDNET работает просто супер, при 
скорости 100 мб все летает. Дома два компа и телик смарт с WiFi?, смотрю
 фильмы на MEGOGO в качестве FullHD без тормозов. Очень доволен всем, 
кроме цены. При почти тотальной монополии цены могли быть и ниже.",4.0,Positive,Моторист,31.12.2014,valrating.com
1,"В середине октября дал заявку на 
подключение трех услуг, сказали что в течении трех раб. дней подключат. 
Спустя день перезвонили сказали, что нет приставок подключат только 
интернет, а приставки будут только в ноябре, позвонил в ноябре оператор 
сказала, что приставки пришли в течении пяти дней подключат. Аха фиг 
там, уже конец ноября звонил сказали приставки кончились. А знакомому 
установили за три дня. И интернет у них гавно, хотя и говорят 30 Мбит. 
До этого стоял биллайн 10 Мбит намного лучше был. Завтра пойду 
отказываться от Казахтелекома и снова подключу биллайн, тем более у них 
скоро тоже будет АйдиТв, пожалел, что перешел в казахтелеком зря только 
стену продырявили. МОЯ ОЦЕНКА 0, даже 1 не достойны...",1.0,Negative,Ерсын,24.11.2014,valrating.com
2,"Первый месяц после подключения было 
супер, дальше, хуже, очень тормозит, скорости ни какой, особенно по 
вечерам и выходным! За что мы платим, не понято! Двадцать первый век на 
дворе, а с интернетом так туго. Жутко бесит!",2.0,Negative,Мария,17.11.2014,valrating.com
1,"Уже месяц ждем подключения 
телевидения! Пришел мастер, установил блок (у нас 3 в одном-интернет, 
телефон, телевидение). Ничего не подключил! Обещал зайти! Хорошо сын сам
 наладил телефон и интернет! Телевидения нет! Сегодня обещали прийти! 
Опять обманули! Не Казахтелеком! А Лохтелеком! Отвратительно 
обслуживают! Жать что нет оценки ниже единице! Обслуживание НОЛЬ!!!!!",1.0,Negative,Галина,07.07.2014,valrating.com
5,"Ну на конец то провели стеклянный 
интернет. Очень долго ждал, хотя ADSL тоже хорошо работал, но IDnet 
вообще бомба. Сервис хорош, правда иногда попадаются любители по 
умничать.",5.0,Positive,Дядя,21.05.2014,valrating.com
3,"Перед новым годом стал тормозить 
интернет, хотя тесты нормальные, несколько дней помучился позвонил в 
поддержку, мерили и настраивали, но воз и ныне там. Зато вежливые!",3.0,Negative,MegaOFFline,12.01.2014,valrating.com
1,"незнаю читают они там наши отзывы или
 нет,но по-моему им там глубоко по барабану.у меня айди,как всегда у 
нас, сделано через одно место,постоянные разрывы,падение скорости,а то и
 вообще отключение.жаловался,писал,вообщем бесполезно.",1.0,Negative,ринат,30.11.2013,valrating.com
1,"пользовалась интернетом Казахтелекома
 в течении 3х лет,то отключали и не делали перерасчет,или же просто 
резали скорость так что любая страница грузилась около 30 мин.сколько 
раз звонила им (если дозванивалась) и постоянно во всех проблемах 
виновен мои комп,но только не они или же ""Вот вы понимаете..."" судя по 
всему нас никто не хотел там понимать,только деньги драли!управы никакой
 не найти!",1.0,Negative,Алена,01.08.2013,valrating.com
4,"Очень часто возникают проблемы с 
интернетом и ID TV, соответственно. Связь просто теряется безпричинно, а
 потом каким-то чудом само все восстанавливается. В общем, все нравится,
 качество телевидения и скорость интернета, но за такую цену можно и 
лучше поработать над надежностью.",4.0,Positive,Юлия,17.07.2013,valrating.com
1,"Перестал работать телефон ВЫЗВАЛ 
Монтера чтобы поменял проводку Врезультате телефон заработал но все что 
можно сломал (плинтуса, стены и тд) Просто ""садист"" какой то! А по 
телефону все такие вежливые!",1.0,Negative,Александр,11.05.2013,valrating.com
1,"Нестабильно работает услуга ID TV. 
Позвонил в 165. Несколько минут разговаривал с оператором. Потом 
переключили на техотдел. Там сказали будьте дома в течении дня приедут 
поставят другую приставку. Отпросился с работы, сижу жду. К 6 часам 
вечера понимаю, что никто не приедет. Звоню опять в 165, оператор около 
10 минут искал какую-то там карточку. Потом сказал ждите до 8 вечера 
приедут. Так никто не приехал и не позвонил.",1.0,Negative,freedom,08.02.2013,valrating.com
5,ID Net super! Жаль что не везде есть возможность подключения.,5.0,Positive,MAC,19.09.2012,valrating.com
1,"Когда прекратится урезание прав? 
Почему кто то может мне запретить свободно пользоваться интернет 
ресурсами? Даже сервис Google урезают! Капец и жаловаться некому! 
Подгосударственная контора!",1.0,Negative,Артём,05.05.2012,valrating.com
1,"хреновый интернет, связь в алматы на 
пресечении достык-клочкова постоянно пропадает, до тех.поддержки 
практически не дозвониться, вечером и ночью вообще никого нет!",1.0,Negative,Бек,24.03.2012,valrating.com
3,За такие деньги качество могло бы быть лучше.,3.0,Negative,Alex,30.01.2012,valrating.com
5,Ну на конец то! Снижены цены на доступ в интернет! свершилось!,5.0,Positive,Валерий,11.01.2012,valrating.com
5,"КТ это молодая компания, которая показывает как нужно относится к своей работе застарелых консерваторов. 
Они не боятся вкладывать большие деньги в новые технологии, и не боятся 
новинок. Поэтому просто приятно, что такая резвая компания есть в 
стране. 
Качество представляемых услуг растет постоянно, нареканий нет. .",5.0,Positive,3anuda,09.12.2011,valrating.com
5,"Услуги Мегалайна устраивают полностью. С самого подключения проблем не было. Так что, качество оцениваю как высокое.",5.0,Positive,Роланд,06.12.2011,valrating.com
3,"согласен, качество хорошее, но 
дороговато. Считаю основным минусом это контроль доступа к 
интернет-ресурсам, например http://www.livejournal.com или вообще 
непонятно почему нельзя просмотреть из Казахстана picasaweb.google.com -
 это просто галерея. Вежливость обслуживания это не компенсирует. 
Cвободы!",3.0,Negative,meister,05.12.2011,valrating.com
5,"Живу на КСК около 9 школы, интернет 
не вызывает нарекании. Играю в онлайн игры WoW пинг стабильно низкий. По
 цене вполне устраивает, за 4010 анлим по казнету.",5.0,Positive,Марат,05.12.2011,valrating.com
Говно  а не интернет,"Куанышбек Есекеев или кто там у вас 
главный, вообще ни стыда ни совести деньги сдирают с людей а обратной 
связи 0. Интернет ужасный скорость самая низкая. Никогда не подключайте 
их интернет.",1.0,Negative,Алт,10.02.2021,valrating.com
aidi tv ,"Очень плохой, худший даже сказала бы 
Интернет. Постоянно авария, постоянно у них неполадки. У них вины нет 
как не позвониш сразу на тебя хотят вешать свои косяки. Вообще не стоит 
заключать с ними договор. Ежемесячная оплата космическая сумма, за 
услугу  оцениваю «0». ТВ зависает не показывает. Мастера приходят 
устранять и в конце ничего не меняется та же самая картина.",1.0,Negative,vivien.mk@mail.ru,09.02.2021,valrating.com
Интернет,"Постоянно виснет интернет. Скорость 
отстой! Казахтелекому нет бы взять на заметку все плохие отзывы и 
исправить свои минусы, но нет, ничего хорошего! Какой был тормознутый 
интернет, таким и остался!",2.0,Negative,Б,05.02.2021,valrating.com
Самый худший провайдер,"Нормально в игры поиграть не могу,не 
говоря уже про видео.Заходишь на сайт смотреть свое любимое аниме и тут 
же стоит кружок с бесконечными вращениями бесит до тошноты.Не 
пользуйтесь.Подключите лучше Билайн и то по лучше будет",1.0,Negative,ННН,05.02.2021,valrating.com
Самый ужасный интернет,"Люди лучше не связывайтесь с этим 
Казахтелеком. 5 лет мучились и обманывали. У меня турбо 8 подключил но 
оказывается мне только половину скорость дали. Деньги на ветер. Я бы 
даже назвал их обслуживания хуже чем Африка или дал бы рейтинг самый 
последним. Лучше без интернета сидеть чем мучится с этим. Говорят билайн
 лучше работает но дорого.",1.0,Negative,Асылхан,29.01.2021,valrating.com
В край охренели,"Господи! просвяти головы заблудших 
людей, которые попытаются каким либо образом связаться с этой компанией.
   Телевидение гов.. Интернет говн... Берут деньги как за полноценный 
интернет а по факту получаешь вечно тормозящий, само-произвольно 
отключающий интернет... Врагу не посоветую связываться с ними",1.0,Negative,Потребитель,28.01.2021,valrating.com
"Казахтелеком, id net. Не берите этот интернет и т.д","Крч ребят, полное дерьмо интернет 20 
мбит в сек, это смешно. Ночью интернет отключают, берут и отключают. Вы 
берете с нас 10 тысяч тенге, за три телевизора и интернет, да не всрался
 мне ваш интернет, подаю иск на этих мошенников. Самый худший интернет в
 КЗ.",1.0,Negative,Димаш,25.01.2021,valrating.com
претензия,"Месяц назад рекламировали новый тариф
 , на что согласившись , подписала договор , и очень пожалела , целых 2 
недели остались без сотовой связи , т.к  на свои номера регистрировали ,
 3 раз ездили на Рихарде Зорге , и целый месяц не получили полный пакет 
услуг , но деньги не стесняясь сняли при этом .
Вчера отнесла ID Net, на что мне Сактлиганова эта старший менеджер не 
знала что и ответить , говорит ""скажите спасибо что живете в 
Казахстане"". Это вообще убило .
И что интересно , такие работают и получают за наш счет зарплату и занимают места , за что ?",1.0,Negative,Ильмира,15.01.2021,valrating.com
Грабят средь бела дня,"Не важно, какой договор подписываете, без уведомления повышают оплату. 
В 2018 году заключили договор и вроде всё было нормально - платили как 
положено первые месяцы по скидке, потом уже без скидки. И вот в начале 
прошлого года ежемесячно начала подниматься оплата. Поначалу это было в 
больших промежутках и не так заметно, но потом цена начала повышаться 
ежемесячно и вот мы уже платим на 1000 тг больше того, что указано в 
договоре. Пошли разбираться, сказали, что договор заключается не 
""фиксированный"" и повышение цены это нормально. Подключили другой тариф,
 где стоимость уже меньше и заключили новый договор. И вот пошел второй 
месяц оплаты - цена опять повысилась! Как так можно? Почему вы даже не 
уведомляете о повышении? Не сообщаете причин?",1.0,Negative,Алтын,03.01.2021,valrating.com
Параша для мазохистов,"Подключать этот интернет просто 
исключено. Вылетает каждые 10 минут, пинг в играх обычно под 60, 
подскакивает до 1000. Приходил сотрудник, мутил что-то, до вечера всё 
было отлично, потом по новой. Сейчас он крайне нестабилен, вылетает даже
 чаще чем 10 минут.",1.0,Negative,Шрек,17.12.2020,valrating.com
"Чтобы ***, камаз ****",8 тысяч за пинг 8000,1.0,Negative,Аnаl Master Van Boy,15.12.2020,valrating.com
Ужас ,"Ужасный провайдер! Такие деньги 
берут, а услуги обещанные не соответствует, 6 мгбт/с=3000 тг, логично 
лучше закинуть мобильный чем платить за маленькую скорость. Короче Г0вно
 инет у Казахтелекома",1.0,Negative,Алишер,30.11.2020,valrating.com
Казахтелеком.Усть-каменогорск,"Ужасная компания!!Обманывают не 
только обычный народ ,но и пенсионеров.Навязывают свои услуги по одной 
цене,а платить в итоге приходится почти в два раза дороже.Конкретно 
менеджер Мухаметкалиев Кайрат .Договор прочитать толком не дал даже.В 
общем по Устькаменогорскому ,делаю выводы по всему""казахтелекому"" !",1.0,Negative,Алена,20.11.2020,valrating.com
Ужасно,"Почти месяц прошел,как переоформил 
квартиру,должен был мастер прийти переделать вай-фай,и на этом всё 
завтраками кормят а мастера всё нет,и интернет тоже нет",1.0,Negative,Иван,18.11.2020,valrating.com
"Уже год ждем, заявку дали а тольку ноль","Город Арысь, улица Дулатова129.Уже 
скоро год будет как ждем интернета. Заявление написали год назад до сих 
пор не установили. Качество общение персонала в филиале  Арысь УЖАСНО. 
ГОВОРИТ ЖДИТЕ ЖДЁМ, СКОЛЬКО ЕЩЕ НАДО ЖДАТЬ??? 87711487757",1.0,Negative,ЖАНАР,08.11.2020,valrating.com
Дерьмо! если можно так выразиться!,"Реально не компетентные,не 
квалифицированные специалисты!Хуже некуда!За что интересно они получают 
свой заработок?! Полный абсурд и беспредел!В прошлом году ждали месяца 
два эту бригаду!Целых два месяца они не могли доехать и починить 
модем!Сейчас та же проблема, дозвониться не могу! Ужасный 
сервис,серьезно наглые и ужасные сотрудники! Был бы другой интернет 
провайдер,сервис с радостью перешла бы к ним!",1.0,Negative,Зарина,26.10.2020,valrating.com
Коментарии ,"Все их услуги просто ужас, ничего не работает платим деньги за воздух...не советую никому с ними связываться....",1.0,Negative,Мария,21.10.2020,valrating.com
Казахтелеком,"Ужасная компания! Были проблемы и 
разборки с ней в 2015, но подумала ладно, возможно исправились, 
подключила на свою голову.  В связи с карантином захотела приостановить 
интернет, пришла, оплатила, пообещали, что остановят, но не тут то было,
 пришла квитанция! Пошла отключить насовсем, и у них карантин,и офисы не
 работают, ладно, после карантина пришла, сдала оборудование, оператор 
заверил, что все отключено и ..  снова квитанция, позвонила оператору, 
та заверила, что разберутся и ... опять квитанция, как вам верить? 
Обман, на обмане, идти снова в офис, стоять в очередях и слушать 
обещания? А на счету уже более 14 тыс тг? Это политика компании? И они 
ещё предлагают отключение онлайн, это сделать на их условиях 
здравомыслящему невозможно, пришлите селфи с удостоверением у лица!  Да 
вы меня очно обманываете глядя в глаза, а что там могут сделать с моими 
данными онлайн даже страшно представить.",1.0,Negative,Ёжик лесной,04.10.2020,valrating.com
"ПИНГ 800, СКОРОСТЬ ВЫГРУЗКИ МЕНЬШЕ 0,8","УЖАС!!! Деньги дерут, а делать не 
хотят нифига! Уже 2 месяца воюю, никаких результатов нет. Кто только не 
приезжал к нам, даже комиссию собирали и толку 0. Мастера ничего сделать
 не могут-линия перегружена, скорости нет, надо ставить еще один ящик 
какой то, а они не хотят. Скоро пойду в суд! Надоели уже! Говно сервис, 
говно связь, компания отстой!",1.0,Negative,Кристина,24.09.2020,valrating.com
Казахтелеком,"Подал заявку на подключение интернета
 в  казахтелеком в Петропавловске. Уже десять дней прошло,тишина. Плохое
 начало.Если подключение для них уже проблема, что будет дальше не 
знаю.Не зря видно о них всегда плохие отзывы.",2.0,Negative,Жасулан,18.09.2020,valrating.com
5,"Сравнивая цены и качество услуг, 
любой адекватный человек должен понять одно, как бы не хаяли 
казахтелеком, альтернативы нет. Есть траблы, они решаемы. В случае с 
конкурентами, единственное желание - застрелиться, нежели дозвониться.
В последнее время кт начали уделять очень большое внимание маркетинг, 
отвечая даже в сети простым пользователям. Мой запрос обработали в 
форуме, я даже удивился.",5.0,Positive,Sinuous,05.12.2011,valrating.com
3,"Так себе оператор, пока альтернатив в 8 микрорайоне нет. Качество тоже посредственное",3.0,Negative,salex,05.12.2011,valrating.com
3,"Фактически монополист. Да качество 
хорошее, но это норма! обслуживание вежливое, технологии современные. 
Интернет по тарифу хит 4010 тенге, а это десятая часть зарплаты, для 
услуги связи однозначно дорого. А международные и междугороднии 
переговоры вообще невероятно. Связь важный компонент развития 
современного общества. Даёшь конкурентную среду!",3.0,Negative,Valeri,03.12.2011,valrating.com
2,"Главный минус Казахтелекома это Цены!! дорого! Но качество, нужно отдать должное, хорошее.",2.0,Negative,maks,02.12.2011,valrating.com
4,"Жил в Екатеринбурге и Новосибирске. 
Работал какое-то время в европе (во Франции). Так что могу сравнивать. 
Казхтелеком, конечно, фактически монополист (хотя последнее время эта 
ситуация исправляется), но качество и цены, поверьте на европейском 
уровне. Во всяком случае, в сфере предоставления широкополосного инета. 
Работать есть над чем, не спорю, но оценка не 3 и уж точно не 2.",4.0,Positive,Palantyre,02.12.2011,valrating.com
Отключение,"Три месяца назад отключила все услуги Казтелекома и сдала оборудование 
Так они до сих пор начисляют плату, звонят, шлют СМС и требуют оплатить долг.
Звоню 160, хожу в офисы каждую неделю, оставляю претензии и заявления - все без толку.
УЖАС
Бесят уже!!!!
Что делать, чтобы ОТ ВАС УЖЕ НАКОНЕЦ ОТВЯЗАТЬСЯ ????
Люди, не связывайтесь с ними, связь ужасная и дорогая, за что платим - не понятно!",1.0,Negative,Марина,15.11.2019,valrating.com
Жалобы ,"Беспонтовый казахтелеком,вечно все 
виснет, телевизор,телефон за что мы платим блин,зато вечно звонят и 
предлагают каналы, за какие блин которые постоянно зависают, это Ваш 
казахский сервис долбаный",1.0,Negative,Акмарал,13.11.2019,valrating.com
Отвратительная работа,"Казахтелеком регулярно и своевременно
 получает деньги за якобы оказанные услуги. В течении месяца 
ремонтировали интернет. Для перерасчёта вымогают, чтобы я тратил своё 
время и посетил их абонентский отдел. Не могу понять, почему платя за 
интернет и телефон, я должен тратить своё время и деньги, чтобы оставить
 заявление. Об этом мне заявила оператор со 160 Дарина под номером 7.",1.0,Negative,Андрей,13.11.2019,valrating.com
Самое наихудшая компания,"Самая колхозная самая ужасная 
компания . Интернет дерьмо.дозванится не реально.бабки накручивают 
всегда.советую всем избавится от этих ....",1.0,Negative,Жомарт,13.11.2019,valrating.com
Чтоб вы сцуки так жили как мне интернет поставляете.,"Интернет просто говнище пинг 
зашкаливает мать вашу  а ведь деньги берут исправно и попробуй только не
 заплати а цены за такой сервис откуда такие цены п****и с****е ненавижу",1.0,Negative,Руслан,09.11.2019,valrating.com
За что переплата,Подскажите пожалуйста. подключила тариф 2месяца назад за 5т а плачу по 7т дозвонится невозможно. Что делать.?,1.0,Negative,Татьяна,08.11.2019,valrating.com
Настолько наглые работники. Ужасное обслуживание,"Уже 4 месяца мне не могут 
переподключить тариф. Каждую неделю кормят своими обещаниями. Зато 
звонят каждый день и говорят о какой-то задолженности и пени. Просто 
кошмар.",1.0,Negative,Виктория,01.11.2019,valrating.com
Казахтелеком отвратительно!!!,"Ужасная компания, отделение 
На шаляпина, сидят наглые и не квалифицированные специалисты, купила 
квартиру не могу отказаться от их услуг, не дают никакую информацию, 
вообще связываться с подобными шарашкиными контвроми не стоит((( мне не 
нужно ничего от них????, не дают возможность снять номер , 
отвратительно, отстой",1.0,Negative,Ирина,28.10.2019,valrating.com
Персонал,"Хотел впервые воспользоваться услугой интернета от Казахтелекома. К сожалению не прочитал сначала отзывов(((. 
В общем Ещё даже не начал пользоваться услугой, как уже столкнулся с вопиющим беспорядком!!!!
Дал заявку на 3х годовой пакет, а как в итоге оказалось, мне собираются 
подключить 2х годовой пакет( соответственно и абонент.плата тоже 
меняется) при этом копия заявки , где черным по белому написано , что 
заявка на 3года у меня на руках.
Дозвонился до девушки , что понимала заявку, на вопрос почему так, 
услышал ответ : ВНИМАНИЕ - хотела чтобы было быстрее. Что за бред, несут
 Ваши сотрудники?
В городе Аксу, такие сотрудники
То есть сотрудник на свое усмотрение меняет тарифы
БРЕД КАКОЙ-ТО
Надеюсь хоть качество предоставленных услуг не разочарует",1.0,Negative,Руслан,22.10.2019,valrating.com
Обманутый абонемент,"Казактелеком самый ужасный услуга 
связи, там как я поняла работают не компетентные сотрудники, мы решили 
подключить ID TV, оказывается у нас она была подключена они не проверив 
ещё подключили, и начисляли сверху долги, в кокои то день после  оплаты 
услуги  по лиц. Счету, мне звонят говорят что у меня долги и начисляется
 пеня, я иду в офис на казбекби - шарипова,  там менеджер Талгат кстати 
старшии  смотря в компьютер , говорит извините наша ошибка сделаем 
перерасчёт, но я должна какои то долг за 3 мес, еще оплатить ту же 
сумму, что уже оплатила и потом они отправят мне на карточку остальную 
сумму перерасчета, я стала требовать заведующего Талгат сказал её нет а 
она ходила рядом по залу, подошла сама тоже смотря в компьютер 
подтвердила слова менеджера, оказалось я ничего не должна. Я обращаюсь 
руководству Казахтелеком вы откуда берете таких работников , и почему 
должны страдать абоненты ваши, решили что мы откажемся от ваших услуг и 
подключим другую связь, очень жаль что в такои компании работают не 
компетентные люди которые не могут сложить цифры а абонент должен из-за 
их ошибки переплачивать. Компания как я поняла не дорожит своим именем. 
Надеюсь моя жалоба не останется без усмотрение.",1.0,Negative,Галия,17.10.2019,valrating.com
Мне норм,"Живу в поселке, Как только провели 
интернет, сразу подключил, (модем использую свой) Мегалайн турбо с IDTv,
 пользуюсь уже лет 7+ все отлично. Вечерами бывают сбои, но это все 
проходит. Пару дней назад решил сменить тариф на ""Black 3"" посмотрим что
 изменится",4.0,Positive,Павел,15.10.2019,valrating.com
ID TV - ошибка моей жизни.,"Заключил договор с АО ""Казахтелеком"",
 думал выиграть от объедения услуг (интернет, телевидение и сот.связь) и
 улучшения в качестве, но как водится с нашим государством, выиграть 
может только монополист. Но теперь по порядку:
ID TV. При переходе на новый тип телевидения пришлось отказаться от 
проверенного временем Alma TV. Это было главной ошибкой. ID TV это глюк 
21 века цифрового Казахстана. Вроде пришли, установили свой маленький 
модем, все настроили. И тут началось, этот модем будь он проклят, 
перезагружается, когда захочет. Только горел индикатор ""зеленым"", бах и 
горит ""красным"", ТВ пропало, пошла перезагрузка аппарата. И так может 
продолжаться хоть целый час. Включение-отключение, танцы с бубнами и др,
 ни чего не дает. Уже плюёшь на все и идешь заниматься др делами. Звонки
 в колл-центр результата не дают ни какого. Отправляют специалистов 
своих которые приходят в момент когда приставка работает. Говорят - ""ну 
все же у вас в порядке!"". Но жить же их не оставишь у себя дома. И 
получается замкнутый круг.
Редкостная дрянь этот наш Казахтелеком со своим ID NET и ID TV.",1.0,Negative,Константин,07.10.2019,valrating.com
